"Period","Tenure","Region","Percentage","Sampling_error"
"P1Y/2007","Owned or partly-owned dwelling","Total New Zealand",13.8,12.9
"P1Y/2007","Dwelling not owned by usual residents","Total New Zealand",30.6,14.4
"P1Y/2007","Total dwellings - owned and not owned","Total New Zealand",18.9,9.8
"P1Y/2008","Owned or partly-owned dwelling","Total New Zealand",15,12.4
"P1Y/2008","Dwelling not owned by usual residents","Total New Zealand",34.7,9.2
"P1Y/2008","Total dwellings - owned and not owned","Total New Zealand",21.4,8.6
"P1Y/2009","Owned or partly-owned dwelling","Total New Zealand",13.3,14.5
"P1Y/2009","Dwelling not owned by usual residents","Total New Zealand",34,12.2
"P1Y/2009","Total dwellings - owned and not owned","Total New Zealand",20,9.5
"P1Y/2010","Owned or partly-owned dwelling","Total New Zealand",13.1,15.3
"P1Y/2010","Dwelling not owned by usual residents","Total New Zealand",33.6,10.5
"P1Y/2010","Total dwellings - owned and not owned","Total New Zealand",20.2,9.7
"P1Y/2011","Owned or partly-owned dwelling","Total New Zealand",13.5,14.7
"P1Y/2011","Dwelling not owned by usual residents","Total New Zealand",39,8.5
"P1Y/2011","Total dwellings - owned and not owned","Total New Zealand",22.1,7.2
"P1Y/2012","Owned or partly-owned dwelling","Total New Zealand",12.4,15.4
"P1Y/2012","Dwelling not owned by usual residents","Total New Zealand",37,8.7
"P1Y/2012","Total dwellings - owned and not owned","Total New Zealand",20.9,8.9
"P1Y/2013","Owned or partly-owned dwelling","Total New Zealand",11.8,12.7
"P1Y/2013","Dwelling not owned by usual residents","Total New Zealand",35.7,11.4
"P1Y/2013","Total dwellings - owned and not owned","Total New Zealand",19.8,8.1
"P1Y/2014","Owned or partly-owned dwelling","Total New Zealand",13.9,11.6
"P1Y/2014","Dwelling not owned by usual residents","Total New Zealand",33.6,9.3
"P1Y/2014","Total dwellings - owned and not owned","Total New Zealand",20.7,7.2
"P1Y/2015","Owned or partly-owned dwelling","Total New Zealand",14.3,9
"P1Y/2015","Dwelling not owned by usual residents","Total New Zealand",36.7,8.3
"P1Y/2015","Total dwellings - owned and not owned","Total New Zealand",22.1,6.7
"P1Y/2016","Owned or partly-owned dwelling","Total New Zealand",15.6,11.6
"P1Y/2016","Dwelling not owned by usual residents","Total New Zealand",36.2,10.5
"P1Y/2016","Total dwellings - owned and not owned","Total New Zealand",22.5,7.4
"P1Y/2017","Owned or partly-owned dwelling","Total New Zealand",14.6,11.1
"P1Y/2017","Dwelling not owned by usual residents","Total New Zealand",33.9,10.4
"P1Y/2017","Total dwellings - owned and not owned","Total New Zealand",21.5,7.4
"P1Y/2018","Owned or partly-owned dwelling","Total New Zealand",15.7,9.8
"P1Y/2018","Dwelling not owned by usual residents","Total New Zealand",34.6,7.7
"P1Y/2018","Total dwellings - owned and not owned","Total New Zealand",22,6
